activity;time;orders;items;packages;customers;products;price;weight;resource;normal;context-aware-normal;deviating
pick item;2019-08-01 08:36:36;{990394};{881598};{};{Luis Santos};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pay order;2019-08-01 08:46:07;{990416};{881679,881680,881681,881682,881683,881684};{};{Anahita Farhang Ghahfarokhi};{iPad Pro,MacBook Pro,iPad Air,Echo,Fire Stick 4K,Echo};4369.97;4.133;Finance;yes;no;no;no
pay order;2019-08-01 09:11:52;{990283};{881154,881155,881156,881157,881158};{};{Lisa Mannel};{MacBook Pro,iPad mini,iPhone X,MacBook Air,MacBook Air};8053.0;4.322;Finance;yes;no;no;no
send package;2019-08-01 09:20:42;{990385,990400,990407,990282,990331};{881564,881613,881563,881643,881644,881637,881636,881152,881635,881340};{660249};{Christine Dobbert};{MacBook Pro,Echo Show 5,iPhone X,Echo Studio,Kindle,Fire Stick,Kindle Paperwhite,Echo Plus,iPad,MacBook Air};6582.95;8.093;Fullfillment;yes;no;no;no
place order;2019-08-01 09:33:13;{990434};{881762,881763,881764};{};{Seran Uysal};{iPhone 11,iPhone 11,iPad};2098.0;0.815;Finance;yes;no;no;no
confirm order;2019-08-01 09:38:42;{990429};{881741,881742,881743};{};{Lisa Mannel};{Echo Studio,iPad Air,iPhone X};1379.99;2.092;Finance;yes;no;no;no
reorder item;2019-08-01 09:38:49;{990407};{881641};{};{Christine Dobbert};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
send package;2019-08-01 09:39:14;{990397,990429};{881603,881606,881742,881605};{660255};{Lisa Mannel};{iPad,MacBook Air,iPad Air,Fire Stick};3210.99;2.373;Fullfillment;yes;no;no;no
package delivered;2019-08-01 09:47:07;{990383,990268,990395,990326};{881559,881093,881599,881326,881555};{660246};{Christina Rensinghof};{Fire Stick 4K,iPhone 11,Fire Stick,iPhone X,Kindle Paperwhite};1756.98;1.313;Delivery;yes;no;no;no
pay order;2019-08-01 09:57:21;{990382};{881551,881552,881553,881554};{};{Mahsa Bafrani};{iPad Air,iPad mini,Fire Stick,iPad};1464.99;1.403;Finance;yes;no;no;no
pick item;2019-08-01 10:13:07;{990432};{881753};{};{Mohammadreza Fani Sani};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
create package;2019-08-01 10:13:07;{990399,990413,990421};{881612,881669,881610,881668,881667,881710,881666,881664};{660256};{Kefang Ding};{iPad,iPhone X,iPhone 11,iPhone X,iPhone 11,MacBook Pro,Echo,Echo Studio};6290.98;4.789;Fullfillment;yes;no;no;no
reorder item;2019-08-01 10:19:27;{990367};{881484};{};{Tobias Brockhoff};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
reorder item;2019-08-01 10:34:18;{990418};{881693};{};{Tobias Brockhoff};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
pay order;2019-08-01 10:37:00;{990365};{881473,881474,881475,881476,881477,881478};{};{Marco Pegoraro};{Echo,MacBook Air,Echo Studio,MacBook Air,Kindle Paperwhite,Echo Studio};5033.97;6.735;Finance;yes;no;no;no
item out of stock;2019-08-01 10:40:37;{990383};{881558};{};{Christina Rensinghof};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
confirm order;2019-08-01 10:45:17;{990434};{881762,881763,881764};{};{Seran Uysal};{iPhone 11,iPhone 11,iPad};2098.0;0.815;Finance;yes;no;no;no
reorder item;2019-08-01 10:46:48;{990383};{881558};{};{Christina Rensinghof};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
pick item;2019-08-01 10:52:11;{990394};{881593};{};{Luis Santos};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
pick item;2019-08-01 10:57:23;{990432};{881755};{};{Mohammadreza Fani Sani};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-08-01 11:12:57;{990364};{881468};{};{Marco Pegoraro};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 11:20:59;{990409};{881652};{};{Mohammadreza Fani Sani};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 11:23:23;{990432};{881757};{};{Mohammadreza Fani Sani};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
place order;2019-08-01 11:26:12;{990435};{881765,881766,881767,881768,881769,881770,881771};{};{Christina Rensinghof};{MacBook Air,iPad,MacBook Air,iPad Air,iPad,Echo,iPhone 8};6499.99;4.896;Finance;yes;no;no;no
pay order;2019-08-01 11:34:28;{990415};{881675,881676,881677,881678};{};{Anahita Farhang Ghahfarokhi};{Fire Stick,iPad,iPad Pro,iPhone 11};2437.99;1.332;Finance;yes;no;no;no
pick item;2019-08-01 11:42:33;{990416};{881679};{};{Anahita Farhang Ghahfarokhi};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-08-01 11:45:37;{990435};{881770};{};{Christina Rensinghof};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
pay order;2019-08-01 11:54:42;{990410};{881655};{};{Claudia Graf};{Kindle Paperwhite};134.0;0.495;Finance;yes;no;no;no
reorder item;2019-08-01 11:58:05;{990417};{881687};{};{Junxiong Gao};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 12:07:52;{990371};{881504};{};{Luis Santos};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pay order;2019-08-01 12:21:49;{990405};{881629,881630};{};{Gyunam Park};{MacBook Pro,Echo Show 8};2634.99;2.35;Finance;yes;no;no;no
confirm order;2019-08-01 12:27:18;{990421};{881707,881708,881709,881710,881711,881712};{};{Kefang Ding};{Fire Stick,Echo Studio,Echo Dot,MacBook Pro,Echo Show 5,iPhone 8};3393.96;4.52;Finance;yes;no;no;no
pay order;2019-08-01 12:28:12;{990429};{881741,881742,881743};{};{Lisa Mannel};{Echo Studio,iPad Air,iPhone X};1379.99;2.092;Finance;yes;no;no;no
confirm order;2019-08-01 12:43:19;{990432};{881751,881752,881753,881754,881755,881756,881757};{};{Mohammadreza Fani Sani};{Echo Plus,Echo Dot,iPad,Echo Dot,Echo Show 8,iPad mini,Echo Studio};1488.95;5.263;Finance;yes;no;no;no
pick item;2019-08-01 12:56:47;{990433};{881760};{};{Mohammadreza Fani Sani};{MacBook Air};2200.0;1.25;Fullfillment;yes;no;no;no
place order;2019-08-01 13:12:09;{990436};{881772,881773,881774,881775};{};{Christine Dobbert};{iPad Air,Echo Studio,Fire Stick 4K,Fire Stick};810.97;2.4;Finance;yes;no;no;no
item out of stock;2019-08-01 13:38:31;{990433};{881758};{};{Mohammadreza Fani Sani};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
pick item;2019-08-01 13:41:52;{990411};{881658};{};{Luis Santos};{MacBook Pro};2500.0;1.37;Fullfillment;yes;no;no;no
pick item;2019-08-01 13:45:39;{990422};{881714};{};{Marco Pegoraro};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
create package;2019-08-01 13:45:39;{990414,990323,990424,990389};{881674,881673,881311,881723,881581,881721,881725,881672};{660257};{Wil van der Aalst};{iPhone X,iPhone X,Echo Dot,iPhone 8,iPad,Echo Show 8,iPad mini,Kindle};3110.97;3.16;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 13:48:13;{990431};{881746};{};{Anahita Farhang Ghahfarokhi};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pick item;2019-08-01 14:00:37;{990416};{881682};{};{Anahita Farhang Ghahfarokhi};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
package delivered;2019-08-01 14:22:09;{990411,990394};{881656,881659,881594,881657,881597};{660252};{Luis Santos};{Echo Show 5,iPad mini,Kindle,Fire Stick 4K,Echo Show 8};838.96;2.903;Delivery;yes;no;no;no
place order;2019-08-01 14:44:04;{990437};{881776,881777};{};{Luis Santos};{iPad Air,iPad};976.0;0.923;Finance;yes;no;no;no
pick item;2019-08-01 15:09:22;{990436};{881775};{};{Christine Dobbert};{Fire Stick};39.99;0.2;Fullfillment;yes;no;no;no
confirm order;2019-08-01 15:20:41;{990431};{881746,881747,881748,881749,881750};{};{Anahita Farhang Ghahfarokhi};{Kindle Paperwhite,Echo Plus,MacBook Air,iPad,iPhone 8};3507.99;3.718;Finance;yes;no;no;no
pick item;2019-08-01 15:29:00;{990430};{881745};{};{Luis Santos};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
pick item;2019-08-01 15:33:04;{990420};{881702};{};{Seran Uysal};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
send package;2019-08-01 15:38:39;{990414,990323,990424,990389};{881674,881673,881311,881723,881581,881721,881725,881672};{660257};{Wil van der Aalst};{iPhone X,iPhone X,Echo Dot,iPhone 8,iPad,Echo Show 8,iPad mini,Kindle};3110.97;3.16;Fullfillment;yes;no;no;no
confirm order;2019-08-01 15:42:47;{990435};{881765,881766,881767,881768,881769,881770,881771};{};{Christina Rensinghof};{MacBook Air,iPad,MacBook Air,iPad Air,iPad,Echo,iPhone 8};6499.99;4.896;Finance;yes;no;no;no
confirm order;2019-08-01 16:00:12;{990436};{881772,881773,881774,881775};{};{Christine Dobbert};{iPad Air,Echo Studio,Fire Stick 4K,Fire Stick};810.97;2.4;Finance;yes;no;no;no
pick item;2019-08-01 16:07:07;{990344};{881389};{};{Mahnaz Qafari};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
package delivered;2019-08-01 16:08:23;{990397,990429};{881603,881606,881742,881605};{660255};{Lisa Mannel};{iPad,MacBook Air,iPad Air,Fire Stick};3210.99;2.373;Delivery;yes;no;no;no
package delivered;2019-08-01 16:13:26;{990401,990388,990402,990381,990420};{881618,881580,881621,881616,881615,881547,881617,881620,881619,881549,881699,881614};{660251};{Seran Uysal};{iPhone 8,MacBook Pro,iPad,iPhone 8,iPhone 11,Echo Show 5,Echo Plus,Kindle Paperwhite,iPhone 11,iPhone 11 Pro,Fire Stick,iPhone 11 Pro};8357.97;5.836;Delivery;yes;no;no;no
pick item;2019-08-01 16:25:59;{990419};{881694};{};{Mahsa Bafrani};{iPhone 11};799.0;0.166;Fullfillment;yes;no;no;no
pay order;2019-08-01 16:40:16;{990285};{881160,881161};{};{Claudia Graf};{Echo Show 8,Echo Show 5};224.98;1.86;Finance;yes;no;no;no
item out of stock;2019-08-01 16:47:28;{990409};{881654};{};{Mohammadreza Fani Sani};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
place order;2019-08-01 16:47:53;{990438};{881778,881779,881780};{};{Mahsa Bafrani};{iPhone 8,iPhone 11 Pro,iPad Air};2159.0;0.838;Finance;yes;no;no;no
item out of stock;2019-08-01 16:48:16;{990423};{881719};{};{Luis Santos};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-08-01 16:58:43;{990421};{881711};{};{Kefang Ding};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
pick item;2019-08-01 17:22:12;{990425};{881728};{};{Lisa Mannel};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
create package;2019-08-01 17:22:12;{990375,990390};{881520,881584,881585};{660258};{Claudia Graf};{MacBook Air,MacBook Pro,Echo Show 8};4829.99;3.6;Fullfillment;yes;no;no;no
pick item;2019-08-01 17:46:35;{990426};{881732};{};{Christina Rensinghof};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 18:13:53;{990432};{881751};{};{Mohammadreza Fani Sani};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
package delivered;2019-08-01 18:16:27;{990414,990323,990424,990389};{881674,881673,881311,881723,881581,881721,881725,881672};{660257};{Wil van der Aalst};{iPhone X,iPhone X,Echo Dot,iPhone 8,iPad,Echo Show 8,iPad mini,Kindle};3110.97;3.16;Delivery;yes;no;no;no
pick item;2019-08-01 18:35:07;{990431};{881750};{};{Anahita Farhang Ghahfarokhi};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
reorder item;2019-08-01 18:46:12;{990399};{881611};{};{Kefang Ding};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
confirm order;2019-08-01 18:54:24;{990430};{881744,881745};{};{Luis Santos};{Fire Stick 4K,iPhone 8};623.99;0.49;Finance;yes;no;no;no
place order;2019-08-01 18:55:32;{990439};{881781,881782};{};{Tobias Brockhoff};{Fire Stick,iPad Air};520.99;0.64;Finance;yes;no;no;no
pick item;2019-08-01 18:59:35;{990420};{881705};{};{Seran Uysal};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
create package;2019-08-01 18:59:35;{990419,990398};{881697,881696,881694,881609};{660259};{Mahsa Bafrani};{Echo Dot,iPad Air,iPhone 11,MacBook Pro};3804.99;2.356;Fullfillment;yes;no;no;no
pick item;2019-08-01 19:02:04;{990413};{881665};{};{Kefang Ding};{iPhone 11};799.0;0.166;Fullfillment;yes;no;no;no
item out of stock;2019-08-01 19:34:42;{990427};{881736};{};{Christina Rensinghof};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
pick item;2019-08-01 19:48:48;{990425};{881726};{};{Lisa Mannel};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
reorder item;2019-08-01 20:20:33;{990432};{881757};{};{Mohammadreza Fani Sani};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
pick item;2019-08-01 21:18:48;{990414};{881670};{};{Wil van der Aalst};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
reorder item;2019-08-01 22:05:33;{990371};{881504};{};{Luis Santos};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
place order;2019-08-01 22:26:07;{990440};{881783,881784};{};{Kefang Ding};{iPhone X,Echo Plus};853.99;1.452;Finance;yes;no;no;no
reorder item;2019-08-02 08:42:42;{990432};{881751};{};{Mohammadreza Fani Sani};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
place order;2019-08-02 08:43:45;{990441};{881785,881786,881787};{};{Mahnaz Qafari};{iPad mini,Kindle,Echo};633.98;1.543;Finance;yes;no;no;no
pick item;2019-08-02 09:12:00;{990429};{881743};{};{Lisa Mannel};{iPhone X};699.0;0.172;Fullfillment;yes;no;no;no
create package;2019-08-02 09:12:00;{990418,990367};{881691,881486};{660260};{Tobias Brockhoff};{Fire Stick,Echo Plus};189.98;1.48;Fullfillment;yes;no;no;no
reorder item;2019-08-02 09:14:27;{990382};{881552};{};{Mahsa Bafrani};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 09:22:18;{990228};{880904};{};{Anahita Farhang Ghahfarokhi};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
confirm order;2019-08-02 09:27:37;{990425};{881726,881727,881728};{};{Lisa Mannel};{iPhone X,Echo,Echo Studio};1003.98;2.432;Finance;yes;no;no;no
item out of stock;2019-08-02 09:29:38;{990430};{881744};{};{Luis Santos};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
payment reminder;2019-08-02 09:31:13;{990078};{880302,880303,880304,880305,880306};{};{Mahnaz Qafari};{Fire Stick 4K,iPhone X,iPhone 11,iPhone 11 Pro,iPhone 11};3540.99;0.972;Finance;yes;no;no;no
pick item;2019-08-02 09:38:51;{990420};{881701};{};{Seran Uysal};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
create package;2019-08-02 09:38:51;{990383,990426,990277,990435,990307};{881556,881733,881731,881126,881770,881732,881244};{660261};{Christina Rensinghof};{iPad Air,iPhone 8,iPad Pro,Kindle Paperwhite,Echo,iPhone X,iPad mini};3480.99;2.86;Fullfillment;yes;no;no;no
pick item;2019-08-02 09:55:16;{990421};{881708};{};{Kefang Ding};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
item out of stock;2019-08-02 10:04:20;{990438};{881779};{};{Mahsa Bafrani};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
confirm order;2019-08-02 10:19:36;{990438};{881778,881779,881780};{};{Mahsa Bafrani};{iPhone 8,iPhone 11 Pro,iPad Air};2159.0;0.838;Finance;yes;no;no;no
pick item;2019-08-02 10:21:46;{990417};{881686};{};{Junxiong Gao};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
item out of stock;2019-08-02 10:29:02;{990436};{881773};{};{Christine Dobbert};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
pick item;2019-08-02 10:37:13;{990424};{881724};{};{Wil van der Aalst};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
pick item;2019-08-02 10:39:10;{990432};{881754};{};{Mohammadreza Fani Sani};{Echo Dot};29.99;0.38;Fullfillment;yes;no;no;no
place order;2019-08-02 10:55:23;{990442};{881788,881789,881790,881791,881792};{};{Kefang Ding};{Echo Show 8,iPad Pro,Fire Stick 4K,Echo Plus,Echo Dot};1503.96;3.403;Finance;yes;no;no;no
failed delivery;2019-08-02 10:55:46;{990385,990400,990407,990282,990331};{881564,881613,881563,881643,881644,881637,881636,881152,881635,881340};{660249};{Christine Dobbert};{MacBook Pro,Echo Show 5,iPhone X,Echo Studio,Kindle,Fire Stick,Kindle Paperwhite,Echo Plus,iPad,MacBook Air};6582.95;8.093;Delivery;yes;no;no;no
reorder item;2019-08-02 11:01:32;{990409};{881652};{};{Mohammadreza Fani Sani};{Echo Show 5};89.99;0.88;Fullfillment;yes;no;no;no
package delivered;2019-08-02 11:21:44;{990404,990412,990352};{881627,881626,881663,881625,881662,881413};{660248};{Majid Rafiei};{Kindle Paperwhite,Echo Show 8,iPhone X,iPad Pro,MacBook Pro,iPad};5051.99;3.983;Delivery;yes;no;no;no
confirm order;2019-08-02 11:32:58;{990437};{881776,881777};{};{Luis Santos};{iPad Air,iPad};976.0;0.923;Finance;yes;no;no;no
confirm order;2019-08-02 11:33:48;{990433};{881758,881759,881760,881761};{};{Mohammadreza Fani Sani};{iPad Air,iPhone 8,MacBook Air,Echo Plus};3359.99;3.18;Finance;yes;no;no;no
send package;2019-08-02 11:40:21;{990408,990357,990373};{881650,881441,881510,881646};{660254};{Mahnaz Qafari};{Fire Stick 4K,Echo Studio,iPhone 11 Pro,iPad Pro};2537.98;2.431;Fullfillment;yes;no;no;no
pay order;2019-08-02 11:52:27;{990419};{881694,881695,881696,881697};{};{Mahsa Bafrani};{iPhone 11,Echo Plus,iPad Air,Echo Dot};1459.98;2.266;Finance;yes;no;no;no
reorder item;2019-08-02 12:12:10;{990436};{881773};{};{Christine Dobbert};{Echo Studio};199.99;1.48;Fullfillment;yes;no;no;no
item out of stock;2019-08-02 12:24:56;{990420};{881703};{};{Seran Uysal};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
package delivered;2019-08-02 12:27:57;{990385,990400,990407,990282,990331};{881564,881613,881563,881643,881644,881637,881636,881152,881635,881340};{660249};{Christine Dobbert};{MacBook Pro,Echo Show 5,iPhone X,Echo Studio,Kindle,Fire Stick,Kindle Paperwhite,Echo Plus,iPad,MacBook Air};6582.95;8.093;Delivery;yes;no;no;no
pick item;2019-08-02 12:36:02;{990436};{881774};{};{Christine Dobbert};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
reorder item;2019-08-02 12:55:46;{990421};{881707};{};{Kefang Ding};{Fire Stick};39.99;0.2;Fullfillment;yes;no;no;no
pick item;2019-08-02 13:02:19;{990436};{881772};{};{Christine Dobbert};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
item out of stock;2019-08-02 13:10:19;{990428};{881740};{};{Junxiong Gao};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
place order;2019-08-02 13:10:32;{990443};{881793,881794,881795};{};{Majid Rafiei};{Echo,Kindle Paperwhite,MacBook Air};2433.99;2.525;Finance;yes;no;no;no
item out of stock;2019-08-02 13:11:55;{990442};{881791};{};{Kefang Ding};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 13:43:33;{990439};{881782};{};{Tobias Brockhoff};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
create package;2019-08-02 13:43:33;{990416,990415,990431,990228};{881684,881683,881677,881681,881675,881749,881679,881682,881750,880904,881676};{660262};{Anahita Farhang Ghahfarokhi};{Echo,Fire Stick 4K,iPad Pro,iPad Air,Fire Stick,iPad,iPad Pro,Echo,iPhone 8,iPhone 8,iPad};5051.96;4.832;Fullfillment;yes;no;no;no
pick item;2019-08-02 13:52:03;{990437};{881777};{};{Luis Santos};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
pick item;2019-08-02 14:33:54;{990426};{881734};{};{Christina Rensinghof};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 14:39:04;{990417};{881687};{};{Junxiong Gao};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
place order;2019-08-02 14:40:50;{990444};{881796};{};{Christine Dobbert};{MacBook Pro};2505.0;1.37;Finance;yes;no;no;no
item out of stock;2019-08-02 14:53:15;{990441};{881785};{};{Mahnaz Qafari};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 15:02:37;{990421};{881712};{};{Kefang Ding};{iPhone 8};529.0;0.21;Fullfillment;yes;no;no;no
send package;2019-08-02 15:05:30;{990399,990413,990421};{881612,881669,881610,881668,881667,881710,881666,881664};{660256};{Kefang Ding};{iPad,iPhone X,iPhone 11,iPhone X,iPhone 11,MacBook Pro,Echo,Echo Studio};6290.98;4.789;Fullfillment;yes;no;no;no
reorder item;2019-08-02 15:09:11;{990431};{881746};{};{Anahita Farhang Ghahfarokhi};{Kindle Paperwhite};129.0;0.495;Fullfillment;yes;no;no;no
pick item;2019-08-02 15:29:01;{990441};{881787};{};{Mahnaz Qafari};{Echo};99.99;0.78;Fullfillment;yes;no;no;no
pick item;2019-08-02 15:36:20;{990379};{881532};{};{Marco Pegoraro};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
send package;2019-08-02 15:54:56;{990375,990390};{881520,881584,881585};{660258};{Claudia Graf};{MacBook Air,MacBook Pro,Echo Show 8};4829.99;3.6;Fullfillment;yes;no;no;no
create package;2019-08-02 16:00:00;{990407,990436};{881642,881639,881775,881774,881772,881638};{660263};{Christine Dobbert};{iPad Pro,Echo Studio,Fire Stick,Fire Stick 4K,iPad Air,Echo};2004.96;3.663;Fullfillment;yes;no;no;no
place order;2019-08-02 16:41:25;{990445};{881797,881798};{};{Tobias Brockhoff};{iPad,Echo};599.99;1.263;Finance;yes;no;no;no
item out of stock;2019-08-02 16:45:34;{990431};{881748};{};{Anahita Farhang Ghahfarokhi};{MacBook Air};2200.0;1.25;Fullfillment;yes;no;no;no
pick item;2019-08-02 17:18:45;{990442};{881790};{};{Kefang Ding};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 17:22:16;{990407};{881645};{};{Christine Dobbert};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
confirm order;2019-08-02 17:22:47;{990440};{881783,881784};{};{Kefang Ding};{iPhone X,Echo Plus};853.99;1.452;Finance;yes;no;no;no
pick item;2019-08-02 17:32:25;{990442};{881789};{};{Kefang Ding};{iPad Pro};1099.0;0.483;Fullfillment;yes;no;no;no
confirm order;2019-08-02 17:49:09;{990442};{881788,881789,881790,881791,881792};{};{Kefang Ding};{Echo Show 8,iPad Pro,Fire Stick 4K,Echo Plus,Echo Dot};1503.96;3.403;Finance;yes;no;no;no
confirm order;2019-08-02 18:24:43;{990444};{881796};{};{Christine Dobbert};{MacBook Pro};2505.0;1.37;Finance;yes;no;no;no
place order;2019-08-02 18:42:36;{990446};{881799,881800,881801};{};{Luis Santos};{Echo Show 8,Kindle Paperwhite,Echo Show 8};393.98;2.455;Finance;yes;no;no;no
pick item;2019-08-02 19:21:37;{990277};{881124};{};{Christina Rensinghof};{iPad mini};449.0;0.28;Fullfillment;yes;no;no;no
pick item;2019-08-02 20:12:48;{990431};{881747};{};{Anahita Farhang Ghahfarokhi};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
place order;2019-08-02 21:47:19;{990447};{881802,881803,881804};{};{Junxiong Gao};{Echo,Echo Show 8,iPad};729.98;2.243;Finance;yes;no;no;no
payment reminder;2019-08-03 10:00:15;{990202};{880792,880793,880794,880795,880796,880797};{};{Majid Rafiei};{Echo Dot,Fire Stick,Echo Studio,Echo Show 8,MacBook Air,iPhone X};3303.96;4.462;Finance;yes;no;no;no
place order;2019-08-03 14:43:30;{990448};{881805,881806,881807,881808};{};{Anahita Farhang Ghahfarokhi};{Kindle Paperwhite,iPad Pro,Fire Stick,iPad};1767.99;1.661;Finance;yes;no;no;no
payment reminder;2019-08-03 15:28:28;{990204};{880804,880805};{};{Anahita Farhang Ghahfarokhi};{iPad mini,Echo Show 5};543.99;1.16;Finance;yes;no;no;no
payment reminder;2019-08-04 09:38:45;{990311};{881268,881269,881270};{};{Gyunam Park};{Echo Show 5,iPad mini,Fire Stick 4K};633.98;1.44;Finance;yes;no;no;no
place order;2019-08-04 15:20:36;{990449};{881809,881810,881811,881812,881813,881814,881815};{};{Gyunam Park};{iPad Air,Echo Show 5,Echo Plus,Echo Dot,Echo Dot,Kindle Paperwhite,iPad Pro};2008.96;4.338;Finance;yes;no;no;no
payment reminder;2019-08-04 17:44:38;{990332};{881341,881342,881343,881344};{};{Gyunam Park};{iPad Pro,Kindle Paperwhite,Echo Show 5,Echo Plus};1472.98;3.138;Finance;yes;no;no;no
place order;2019-08-05 07:52:48;{990450};{881816,881817,881818,881819};{};{Lisa Mannel};{Echo Dot,iPad,MacBook Pro,iPhone 11 Pro};4178.99;2.421;Finance;yes;no;no;no
package delivered;2019-08-05 08:57:22;{990408,990357,990373};{881650,881441,881510,881646};{660254};{Mahnaz Qafari};{Fire Stick 4K,Echo Studio,iPhone 11 Pro,iPad Pro};2537.98;2.431;Delivery;yes;no;no;no
pick item;2019-08-05 09:16:37;{990423};{881720};{};{Luis Santos};{Echo Show 8};129.99;0.98;Fullfillment;yes;no;no;no
pick item;2019-08-05 09:54:55;{990362};{881461};{};{Claudia Graf};{iPad};495.0;0.483;Fullfillment;yes;no;no;no
payment reminder;2019-08-05 10:06:13;{990326};{881323,881324,881325,881326,881327};{};{Christina Rensinghof};{Fire Stick,Echo,iPhone X,iPhone X,iPad Pro};2641.98;1.807;Finance;yes;no;no;no
pick item;2019-08-05 10:37:57;{990435};{881768};{};{Christina Rensinghof};{iPad Air};476.0;0.44;Fullfillment;yes;no;no;no
place order;2019-08-05 10:41:50;{990451};{881820,881821};{};{Majid Rafiei};{iPhone 11 Pro,Echo Plus};1303.99;1.468;Finance;yes;no;no;no
pick item;2019-08-05 10:51:40;{990440};{881784};{};{Kefang Ding};{Echo Plus};149.99;1.28;Fullfillment;yes;no;no;no
payment reminder;2019-08-05 10:51:45;{990330};{881337,881338};{};{Anahita Farhang Ghahfarokhi};{iPad Air,Fire Stick 4K};570.99;0.72;Finance;yes;no;no;no
pick item;2019-08-05 10:57:51;{990451};{881820};{};{Majid Rafiei};{iPhone 11 Pro};1149.0;0.188;Fullfillment;yes;no;no;no
pick item;2019-08-05 10:58:49;{990424};{881722};{};{Wil van der Aalst};{Fire Stick 4K};89.99;0.28;Fullfillment;yes;no;no;no
create package;2019-08-05 10:58:49;{990329,990405};{881333,881629,881630};{660264};{Gyunam Park};{iPhone 11 Pro,MacBook Pro,Echo Show 8};3778.99;2.538;Fullfillment;yes;no;no;no
pick item;2019-08-05 11:13:06;{990441};{881786};{};{Mahnaz Qafari};{Kindle};79.99;0.483;Fullfillment;yes;no;no;no
